"시도별","시점",0 총지수,01 식료품 및 비주류음료,02 주류 및 담배,03 의류 및 신발,04 주택 수도 전기 및 연료,05 가정용품 및 가사 서비스,06 보건,07 교통,08 통신,09 오락 및 문화,10 교육,11 음식 및 숙박,12 기타 상품 및 서비스
"전국","2012",91.815,85.626,63.402,87.862,91.499,88.743,94.106,110.852,105.419,97.964,93.406,85.342,84.908
"전국","2013",93.010,86.360,64.460,90.431,94.735,88.980,94.443,110.267,105.282,98.968,94.504,86.666,85.302
"전국","2014",94.196,86.612,64.413,94.060,97.451,90.872,95.108,108.496,105.217,99.392,95.893,87.923,87.932
"전국","2015",94.861,88.041,96.674,95.317,96.827,93.225,96.298,99.990,105.017,98.906,97.540,89.974,90.271
"전국","2016",95.783,90.073,97.338,97.029,96.038,94.673,97.247,97.775,105.105,100.729,99.135,92.232,93.378
"전국","2017",97.645,93.134,98.805,98.082,97.666,95.712,98.109,101.277,105.410,100.781,100.272,94.441,95.967
"전국","2018",99.086,95.717,99.063,99.169,98.354,97.875,98.058,103.727,104.507,101.272,101.645,97.292,96.533
"전국","2019",99.466,95.762,99.682,99.270,99.488,99.967,98.516,101.867,102.112,101.023,102.178,99.061,98.082
"전국","2020",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"전국","2021",102.50,105.89,100.43,100.56,101.63,101.87,99.92,106.33,99.10,100.43,100.87,102.73,102.00
